iter	Passed	Remaining
455	854	1019
456	856	1017
457	858	1015
458	859	1013
459	861	1011
460	863	1009
461	864	1007
462	866	1005
463	868	1002
464	869	1000
465	871	998
466	873	996
467	874	994
468	876	992
469	878	990
470	880	988
471	882	986
472	883	984
473	885	982
474	886	980
475	888	978
476	890	976
477	891	974
478	893	971
479	895	969
480	897	967
481	898	965
482	900	963
483	902	961
484	903	959
485	905	957
486	907	955
487	909	953
488	910	951
489	912	949
490	914	947
491	916	945
492	917	943
493	919	941
494	921	939
495	922	937
496	924	935
497	926	933
498	927	931
499	929	929
500	931	927
501	933	925
502	934	923
503	936	921
504	938	919
505	940	917
506	941	915
507	943	913
508	945	911
509	946	909
510	948	907
511	950	905
512	952	903
513	953	901
514	955	899
515	957	897
516	958	895
517	960	893
518	962	891
519	963	889
520	965	887
521	967	885
522	970	884
523	971	882
524	973	880
525	975	879
526	977	877
527	978	875
528	980	873
529	982	871
530	984	869
531	985	867
532	987	865
533	989	863
534	991	861
535	992	859
536	994	857
537	996	855
538	997	853
539	999	851
540	1001	849
541	1003	847
542	1004	845
543	1006	843
544	1008	841
545	1009	839
546	1011	837
547	1013	835
548	1015	833
549	1016	831
550	1018	829
551	1020	827
552	1021	826
553	1023	824
554	1025	822
555	1026	820
556	1028	818
557	1030	816
558	1032	814
559	1033	812
560	1035	810
561	1037	808
562	1039	806
563	1040	804
564	1042	802
565	1044	800
566	1045	798
567	1047	796
568	1049	794
569	1050	792
570	1052	790
571	1054	788
572	1055	786
573	1057	784
574	1059	782
575	1060	780
576	1062	778
577	1064	777
578	1065	775
579	1067	773
580	1069	771
581	1071	769
582	1072	767
583	1074	765
584	1075	763
585	1077	761
586	1079	759
587	1081	757
588	1082	755
589	1084	753
590	1086	751
591	1087	749
592	1089	747
593	1091	745
594	1093	744
595	1094	742
596	1096	740
597	1098	738
598	1100	736
599	1101	734
600	1103	732
601	1105	730
602	1106	728
603	1108	726
604	1110	724
605	1111	722
606	1113	721
607	1115	719
608	1117	717
609	1119	715
610	1120	713
611	1122	711
612	1124	709
613	1125	707
614	1127	705
615	1129	703
616	1130	701
617	1132	700
618	1134	698
619	1135	696
620	1137	694
621	1139	692
622	1141	690
623	1142	688
624	1144	686
625	1146	684
626	1148	682
627	1149	681
628	1151	679
629	1153	677
630	1154	675
631	1156	673
632	1158	671
633	1159	669
634	1161	667
635	1163	665
636	1165	664
637	1166	662
638	1168	660
639	1170	658
640	1171	656
641	1173	654
642	1175	652
643	1176	650
644	1178	648
645	1180	646
646	1182	645
647	1183	643
648	1185	641
649	1187	639
650	1188	637
651	1190	635
652	1192	633
653	1193	631
654	1195	629
655	1197	627
656	1198	625
657	1200	624
658	1202	622
659	1204	620
660	1205	618
661	1207	616
662	1209	614
663	1210	612
664	1212	610
665	1214	608
666	1216	607
667	1217	605
668	1219	603
669	1221	601
670	1222	599
671	1224	597
672	1226	595
673	1227	593
674	1229	592
675	1231	590
676	1232	588
677	1234	586
678	1236	584
679	1237	582
680	1239	580
681	1241	578
682	1243	576
683	1244	575
684	1246	573
685	1248	571
686	1249	569
687	1251	567
688	1253	565
689	1255	563
690	1256	562
691	1258	560
692	1260	558
693	1261	556
694	1263	554
695	1265	552
696	1267	550
697	1268	548
698	1270	547
699	1272	545
700	1273	543
701	1275	541
702	1277	539
703	1279	537
704	1280	535
705	1282	534
706	1284	532
707	1285	530
708	1287	528
709	1289	526
710	1291	524
711	1292	522
712	1294	521
713	1296	519
714	1297	517
715	1299	515
716	1301	513
717	1302	511
718	1304	509
719	1306	508
720	1308	506
721	1310	504
722	1311	502
723	1313	500
724	1315	498
725	1316	497
726	1318	495
727	1320	493
728	1322	491
729	1323	489
730	1325	487
731	1327	485
732	1329	484
733	1330	482
734	1332	480
735	1334	478
736	1335	476
737	1337	474
738	1339	472
739	1340	471
740	1342	469
741	1344	467
742	1346	465
743	1347	463
744	1349	461
745	1351	460
746	1353	458
747	1354	456
748	1356	454
749	1358	452
750	1360	450
751	1361	449
752	1363	447
753	1365	445
754	1366	443
755	1368	441
756	1370	439
757	1371	438
758	1373	436
759	1375	434
760	1377	432
761	1378	430
762	1380	428
763	1382	427
764	1384	425
765	1385	423
766	1387	421
767	1389	419
768	1390	417
769	1392	415
770	1394	414
771	1396	412
772	1397	410
773	1399	408
774	1401	406
775	1402	404
776	1404	403
777	1406	401
778	1408	399
779	1409	397
780	1411	395
781	1413	393
782	1414	392
783	1416	390
784	1418	388
785	1420	386
786	1421	384
787	1423	382
788	1425	381
789	1427	379
790	1428	377
791	1430	375
792	1432	373
793	1433	371
794	1435	370
795	1437	368
796	1438	366
797	1440	364
798	1442	362
799	1443	360
800	1445	359
801	1447	357
802	1448	355
803	1450	353
804	1452	351
805	1454	349
806	1455	348
807	1457	346
808	1459	344
809	1461	342
810	1462	340
811	1464	339
812	1466	337
813	1467	335
814	1469	333
815	1471	331
816	1472	329
817	1474	328
818	1476	326
819	1478	324
820	1479	322
821	1481	320
822	1483	319
823	1485	317
824	1486	315
825	1488	313
826	1490	311
827	1492	309
828	1493	308
829	1495	306
830	1497	304
831	1499	302
832	1500	300
833	1502	299
834	1504	297
835	1506	295
836	1507	293
837	1509	291
838	1511	290
839	1513	288
840	1514	286
841	1516	284
842	1518	282
843	1520	280
844	1521	279
845	1523	277
846	1525	275
847	1527	273
848	1528	271
849	1530	270
850	1532	268
851	1533	266
852	1535	264
853	1537	262
854	1539	261
855	1540	259
856	1542	257
857	1544	255
858	1545	253
859	1547	251
860	1549	250
861	1551	248
862	1552	246
863	1554	244
864	1556	242
865	1557	241
866	1559	239
867	1561	237
868	1562	235
869	1564	233
870	1566	232
871	1568	230
872	1569	228
873	1571	226
874	1573	224
875	1574	222
876	1576	221
877	1578	219
878	1579	217
879	1581	215
880	1583	213
881	1585	212
882	1586	210
883	1588	208
884	1590	206
885	1591	204
886	1593	203
887	1595	201
888	1597	199
889	1598	197
890	1600	195
891	1602	193
892	1603	192
893	1605	190
894	1607	188
895	1608	186
896	1610	184
897	1612	183
898	1614	181
899	1615	179
900	1617	177
901	1619	175
902	1621	174
903	1622	172
904	1624	170
905	1626	168
906	1627	166
907	1629	165
908	1631	163
909	1633	161
910	1634	159
911	1636	157
912	1638	156
913	1640	154
914	1641	152
915	1643	150
916	1645	148
917	1646	147
918	1648	145
919	1649	143
920	1651	141
921	1653	139
922	1654	138
923	1656	136
924	1658	134
925	1659	132
926	1661	130
927	1663	129
928	1665	127
929	1666	125
930	1668	123
931	1670	121
932	1671	120
933	1673	118
934	1675	116
935	1677	114
936	1679	112
937	1680	111
938	1682	109
939	1684	107
940	1686	105
941	1687	103
942	1689	102
943	1691	100
944	1692	98
945	1694	96
946	1696	94
947	1698	93
948	1699	91
949	1701	89
950	1703	87
951	1705	85
952	1706	84
953	1708	82
954	1710	80
955	1712	78
956	1713	77
957	1715	75
958	1717	73
959	1719	71
960	1720	69
961	1722	68
962	1724	66
963	1725	64
964	1727	62
965	1729	60
966	1731	59
967	1733	57
968	1734	55
969	1736	53
970	1738	51
971	1740	50
972	1741	48
973	1743	46
974	1745	44
975	1747	42
976	1748	41
977	1750	39
978	1752	37
979	1753	35
980	1755	34
981	1757	32
982	1759	30
983	1760	28
984	1762	26
985	1764	25
986	1765	23
987	1767	21
988	1769	19
989	1771	17
990	1772	16
991	1774	14
992	1776	12
993	1778	10
994	1779	8
995	1781	7
996	1783	5
997	1784	3
998	1786	1
999	1788	0
