iter	RMSE
0	162.5409008
1	161.3456395
2	160.0013034
3	158.5405658
4	157.2182139
5	155.9854376
6	154.5847909
7	153.3669677
8	152.0699733
9	150.8317856
10	149.46741
11	148.4252225
12	147.2295012
13	146.0829109
14	144.7815021
15	143.6015596
16	142.4662547
17	141.5780426
18	140.6887273
19	139.6796793
20	138.7101533
21	137.5458412
22	136.85277
23	135.9620775
24	135.0486752
25	134.2405842
26	133.2953472
27	132.4551797
28	131.33925
29	130.6270348
30	129.8199894
31	128.6433971
32	127.7424021
33	127.0448693
34	126.1299911
35	125.2321747
36	124.1851474
37	123.3233105
38	122.76233
39	122.1739673
40	121.5667514
41	121.0953738
42	120.4362126
43	119.9584369
44	119.4071745
45	118.8240419
46	118.3667441
47	117.7976744
48	117.340438
49	116.7008938
50	115.8781311
51	115.383356
52	114.8053295
53	114.1676013
54	113.5424598
55	112.9847128
56	112.2052966
57	111.5577383
58	110.8085691
59	110.3132757
60	109.8282508
61	109.4542105
62	108.7906733
63	108.3331016
64	107.728345
65	107.1215334
66	106.5714071
67	105.9860307
68	105.6705567
69	105.3682405
70	104.7885932
71	104.2929948
72	103.9032376
73	103.5069511
74	103.1922998
75	102.6499731
76	101.9413392
77	101.5086752
78	100.7730679
79	100.3996913
80	100.0465681
81	99.65942886
82	98.98692946
83	98.39360493
84	98.003642
85	97.47032077
86	96.99232293
87	96.54480487
88	96.07047543
89	95.59948299
90	95.12827366
91	94.71191563
92	94.28531544
93	93.81322472
94	93.36662085
95	93.06432172
96	92.68661676
97	92.10185471
98	91.73206949
99	91.40933968
100	90.91142772
101	90.51206014
102	90.2624571
103	89.95707572
104	89.59777534
105	89.17184578
106	88.67410455
107	88.36315478
108	88.08404155
109	87.7981321
110	87.4388558
111	87.06920344
112	86.69510628
113	86.1687981
114	85.8488658
115	85.54445891
116	85.31211354
117	84.81413752
118	84.55815848
119	84.15266327
120	83.83298586
121	83.48149487
122	82.98606551
123	82.75631605
124	82.36172131
125	82.19843627
126	81.98386532
127	81.68323679
128	81.42418636
129	81.07463805
130	80.82625114
131	80.55749734
132	80.40565458
133	80.26159018
134	80.02464581
135	79.79400835
136	79.6720654
137	79.32597368
138	79.03027517
139	78.71324631
140	78.56045823
141	78.23053862
142	77.89123967
143	77.67945941
144	77.45042123
145	77.14193537
146	76.9568003
147	76.89643926
148	76.5946271
149	76.32563943
150	76.03010774
151	75.76569607
152	75.36238292
153	75.06654404
154	74.9156879
155	74.70388453
156	74.33244367
157	74.00033666
158	73.6771852
159	73.45132642
160	73.02123804
161	72.81601667
162	72.57740406
163	72.38203028
164	72.32741826
165	72.05496865
166	71.79017318
167	71.59986378
168	71.34570399
169	71.1537942
170	70.8896305
171	70.59574263
172	70.2955449
173	70.11695451
174	69.93885847
175	69.66501316
176	69.29239631
177	69.14616408
178	68.9214175
179	68.55937076
180	68.26467586
181	68.00961675
182	67.81218977
183	67.56720358
184	67.28032295
185	67.07985687
186	66.73763117
187	66.51227484
188	66.10590114
189	65.88177687
190	65.47695288
191	65.16499473
192	64.91810352
193	64.52994222
194	64.29774062
195	63.9837332
196	63.75150714
197	63.53727806
198	63.15230178
199	62.790853
200	62.62989323
201	62.34272215
202	62.18114909
203	61.93994848
204	61.78867227
205	61.53391703
206	61.2694346
207	60.83611976
208	60.67032812
209	60.36704351
210	60.17383238
211	60.02088508
212	59.73012188
213	59.4963635
214	59.12620087
215	58.78173991
216	58.49543772
217	58.35681244
218	58.10309389
219	57.86763516
220	57.70911815
221	57.39795076
222	57.19135029
223	57.06567436
224	56.81590982
225	56.63288718
226	56.39555901
227	56.20890362
228	55.99125811
229	55.81876884
230	55.62415372
231	55.38698167
232	55.21174252
233	55.05403859
234	54.77370773
235	54.57237532
236	54.39937435
237	54.05818024
238	53.91095256
239	53.77423828
240	53.62719479
241	53.47173495
242	53.30080963
243	53.15588243
244	52.91087307
245	52.79386252
246	52.67577856
247	52.50865107
248	52.3617786
249	52.20786982
250	51.94942109
251	51.80517075
252	51.69359287
253	51.54593977
254	51.46925459
255	51.14637668
256	51.01526212
257	50.89165549
258	50.75143667
259	50.52069351
260	50.39061765
261	50.25797573
262	49.99961555
