;Unnamed: 0.1;contract;district;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
35;35;Affitto, 3+2;centro;132;3;1;Intera proprietà;650;0.0;0.0;1970.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83734389/
36;36;Affitto;centro;60;1;0;Intera proprietà;450;52.0;0.0;1980.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83746349/
37;37;Affitto;centro;70;2;3;Intera proprietà;500;188.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83704409/
38;38;Affitto, Concordato;centro;95;4;2;Classe immobile media;500;150.0;0.0;1977.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83710291/
39;39;Affitto, 4+4;centro;123;5;2;Intera proprietà;850;150.0;0.0;2001.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83712167/
40;40;Affitto, 4+4;centro;89;3;2;Intera proprietà;800;25.0;0.0;0.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83615925/
41;41;Affitto;centro;96;5;3;Intera proprietà;230;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83585395/
42;42;Affitto, 4+4;centro;79;3;Piano;Intera proprietà;600;42.0;0.0;0.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83495785/
43;43;Affitto, 4+4;centro;98;3;da;Intera proprietà;700;0.0;0.0;1990.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83508443/
44;44;Affitto;centro;98;3;4;Classe immobile media;400;150.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83516269/
45;45;Affitto;centro;25;1;2;Intera proprietà;250;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83515677/
46;46;Affitto;centro;50;2;2;Intera proprietà;450;33.0;0.0;0.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83433559/
47;47;Affitto, 4+4;centro;35;1;2;Intera proprietà;400;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83329555/
48;48;Affitto, 4+4;centro;100;3;3;Intera proprietà;600;60.0;0.0;1950.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83297637/
49;49;Affitto;centro;40;1;1;Intera proprietà;450;50.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83178237/
50;50;Affitto;centro;50;2;5;0;500;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83173481/
51;51;Affitto;centro;110;3;Piano;Intera proprietà;850;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83095059/
52;52;Affitto, Concordato;centro;140;5;1;Classe immobile media;750;250.0;0.0;0.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83049413/
53;53;Affitto;centro;110;4;2;0;690;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/83028329/
54;54;Affitto;centro;105;3;3;Intera proprietà;550;65.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82914385/
55;55;Affitto, Libero;centro;95;4;Piano;Intera proprietà;750;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82946789/
56;56;Affitto;centro;56;2;1;Intera proprietà;500;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82927217/
57;57;Affitto, 3+2;centro;57;2;5;Intera proprietà;500;0.0;0.0;2009.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82908313/
58;58;Affitto, Libero;centro;90;4;2;Classe immobile signorile;800;70.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82893259/
59;59;Affitto, 4+4;centro;120;4;2;Intera proprietà;900;0.0;0.0;1800.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/82868349/
60;60;Affitto, Concordato;centro;97;4;4;Classe immobile media;750;100.0;0.0;0.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82840745/
61;61;Affitto;centro;68;3;2;Intera proprietà;690;50.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82840183/
