;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
34;Affitto;aurora;Parziale proprietà, classe immobile media;40;1;2°;Intera proprietà;500;65;;;ottimo/ristrutturato;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/80648163/
35;Affitto;aurora;Parziale proprietà, classe immobile media;43;1;Ultimo;Intera proprietà;350;20;;;buono/abitabile;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80681735/
36;Affitto;aurora;Parziale proprietà, classe immobile media;20;1;Piano;Intera proprietà;250;;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/80679229/
37;Affitto;aurora;Parziale proprietà, classe immobile media;34;2;6°;Intera proprietà;650;39;;;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/80636291/
38;Affitto;aurora;Parziale proprietà, classe immobile media;38;2;2°;Intera proprietà;470;;;;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/80652451/
39;Affitto;aurora;Parziale proprietà, classe immobile media;63;2;Piano;Intera proprietà;600;35;;1920.0;ottimo/ristrutturato;autonomo;;;;;predisposizione impianto;E ;https://www.immobiliare.it/annunci/80621763/
40;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;1°;Intera proprietà;470;20;;;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80600515/
41;Affitto;aurora;Parziale proprietà, classe immobile media;45;2;Ultimo;Intera proprietà;400;50;;1950.0;buono/abitabile;autonomo;;;;;None;;https://www.immobiliare.it/annunci/80596587/
42;Affitto;aurora;Parziale proprietà, classe immobile media;38;2;3°;Intera proprietà;450;25;;;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/70825310/
43;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;Piano;Intera proprietà;550;50;;1960.0;ottimo/ristrutturato;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80589841/
44;Affitto;aurora;Parziale proprietà, classe immobile media;50;3;Piano;Intera proprietà;550;50;;1930.0;buono/abitabile;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80589153/
45;Affitto;aurora;Parziale proprietà, classe immobile media;24;1;Piano;Intera proprietà;330;30;;1930.0;ottimo/ristrutturato;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80583423/
46;Affitto;aurora;Parziale proprietà, classe immobile media;30;1;5°;Intera proprietà;390;;;1906.0;buono/abitabile;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80590189/
47;Affitto;aurora;Parziale proprietà, classe immobile media;90;4;1°;Intera proprietà;1050;;;1920.0;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80578207/
48;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;500;35;;1965.0;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/80580521/
49;Affitto;aurora;Parziale proprietà, classe immobile media;120;4;3°;Parziale proprietà;234;90;;1920.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/80564991/
50;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;300;60;;1950.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/80560099/
51;Affitto;aurora;Parziale proprietà, classe immobile media;90;3;1°;;850;;;1995.0;ottimo/ristrutturato;autonomo;;;;;None;B ;https://www.immobiliare.it/annunci/80548801/
52;Affitto;aurora;Parziale proprietà, classe immobile media;40;2;1°;Classe immobile media;450;25;;1940.0;buono/abitabile;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/80530339/
53;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;;Intera proprietà;450;60;;1960.0;buono/abitabile;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/80541597/
54;Affitto;aurora;Parziale proprietà, classe immobile media;65;3;2°;Intera proprietà;432;80;;1940.0;ottimo/ristrutturato;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/80535861/
55;Affitto;aurora;Parziale proprietà, classe immobile media;30;1;5°;Intera proprietà;320;30;;1906.0;buono/abitabile;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80531017/
