;riferimento e data annuncio;contratto;tipologia;superficie;locali;piano;totale piani edificio;disponibilità;tipo proprietà;altre caratteristiche;prezzo;spese condominio;informazioni catastali;anno di costruzione;stato;riscaldamento;classe energetica;immobile garantito;climatizzazione;spese aggiuntive;certificazione energetica;prestazione energetica del fabbricato;posti auto;indice prest. energetica rinnovabile;zona;links
0;TO224 - 05/06/2020;Affitto;Appartamento;130 m²;5 (4 camere da letto, 1 altro), 1 bagno, cucina abitabile;3° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Porta blindata;€ 900/mese;€ 130/mese;Classe A/2, rendita € 1.420;1960;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;E 175,45 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80773887/
0;EK-80776221 - 05/06/2020;Affitto;Appartamento;45 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile;;Libero;;Balcone;€ 600/mese;€ 40/mese;;;Ottimo / Ristrutturato;Autonomo;D 215,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80776221/
0;18414 - 05/06/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;2° stabile, con ascensore;8 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 365/mese;€ 45/mese;;;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;G ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80763141/
0;EK-80766817 - 05/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile, con ascensore;;Libero;Intera proprietà;Balcone;€ 550/mese;€ 55/mese;;;Buono / Abitabile;Autonomo;;;;€ 50/mese;In attesa di certificazione;;;;aurora;https://www.immobiliare.it/annunci/80766817/
0;40307415 - 05/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile, con ascensore;4 piani;Libero;Intera proprietà;Balcone;€ 550/mese;€ 42/mese;Classe A/3;1930;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;D 185,44 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80772597/
0;40313156 - 05/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile;4 piani;Libero;Intera proprietà, classe immobile economica;Fibra ottica;€ 550/mese;€ 50/mese;Classe A/4, rendita € 161;1940;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;;;Autonomo, freddo/caldo;;In attesa di certificazione;;;;aurora;https://www.immobiliare.it/annunci/80752921/
0;EK-80713211 - 10/06/2020;Affitto;Appartamento;92 m²;4 (3 camere da letto, 1 altro), 2 bagni, cucina abitabile;5° stabile;;Libero;;Balcone;€ 1.100/mese;;;;Ottimo / Ristrutturato;Autonomo;;;;;In attesa di certificazione;;;;aurora;https://www.immobiliare.it/annunci/80713211/
0;Palazzo Hollywood;Affitto;Appartamento;70 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina a vista;Su più livelli, con ascensore;9 piani;Libero;Intera proprietà, immobile di lusso;Porta blindata;€ 790/mese;€ 140/mese;Classe A/2;2014;Ottimo / Ristrutturato;Centralizzato, a radiatori;A 48,34 kWh/m²anno;;Autonomo, freddo;;;;;;aurora;https://www.immobiliare.it/annunci/80745245/
0;EK-80742479 - 04/06/2020;Affitto;Appartamento;40 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile;4 piani;Libero;Intera proprietà, classe immobile signorile;Fibra ottica;€ 330/mese;;;;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;D 100,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80742479/
0;pp;Affitto;Mansarda;55 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;Ultimo stabile;3 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 350/mese;€ 50/mese;;1900;Buono / Abitabile;Autonomo, a pavimento;E 425,45 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80711183/
0;EK-80711605 - 10/06/2020;Affitto;Appartamento;45 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile;3 piani;;Intera proprietà, classe immobile media;Cancello elettrico;€ 450/mese;€ 15/mese;Classe A/3;1900;Ottimo / Ristrutturato;Autonomo, a radiatori;E 175,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80711605/
0;EK-80710989 - 03/06/2020;Affitto;Appartamento;31 m²;1 camera da letto, 1 bagno, cucina angolo cottura;2° stabile;3 piani;Libero;Intera proprietà, classe immobile signorile;Fibra ottica;€ 330/mese;;Classe A/1;;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;D ≥ 175 kWh/m²anno;;Autonomo, freddo/caldo;;;;;;aurora;https://www.immobiliare.it/annunci/80710989/
0;EK-80695387 - 05/06/2020;Affitto;Appartamento;40 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina abitabile;4° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Cancello elettrico;€ 520/mese;€ 70/mese;Classe A/5;1930;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;F ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80695387/
