;contract;district;renting_type;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
34;Affitto;centro;Intera proprietà, classe immobile media;100;3;Piano;;700;;;;buono/abitabile;;None;;;;;https://www.immobiliare.it/annunci/83762655/
35;Affitto, 3+2;centro;Intera proprietà, classe immobile media;132;3;1°;Intera proprietà;650;;;1970.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83734389/
36;Affitto;centro;Intera proprietà, classe immobile media;60;1;;Intera proprietà;450;52;;1980.0;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/83746349/
37;Affitto;centro;Intera proprietà, classe immobile media;70;2;3°;Intera proprietà;500;188;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/83704409/
38;Affitto, Concordato;centro;Intera proprietà, classe immobile media;95;4;2°;Classe immobile media;500;150;;1977.0;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83710291/
39;Affitto, 4+4;centro;Intera proprietà, classe immobile media;123;5;2°;Intera proprietà;850;150;;2001.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83712167/
40;Affitto, 4+4;centro;Intera proprietà, classe immobile media;89;3;2°;Intera proprietà;800;25;;;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83615925/
41;Affitto;centro;Intera proprietà, classe immobile media;96;5;3°;Intera proprietà;230;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/83585395/
42;Affitto, 4+4;centro;Intera proprietà, classe immobile media;79;3;Piano;Intera proprietà;600;42;;;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83495785/
43;Affitto, 4+4;centro;Intera proprietà, classe immobile media;98;3;da;Intera proprietà;700;;;1990.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83508443/
44;Affitto;centro;Intera proprietà, classe immobile media;98;3;4°;Classe immobile media;400;150;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83516269/
45;Affitto;centro;Intera proprietà, classe immobile media;25;1;2°;Intera proprietà;250;;;;buono/abitabile;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83515677/
46;Affitto;centro;Intera proprietà, classe immobile media;50;2;2°;Intera proprietà;450;33;;;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/83433559/
47;Affitto, 4+4;centro;Intera proprietà, classe immobile media;35;1;2°;Intera proprietà;400;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83329555/
48;Affitto, 4+4;centro;Intera proprietà, classe immobile media;100;3;3°;Intera proprietà;600;60;;1950.0;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83297637/
49;Affitto;centro;Intera proprietà, classe immobile media;40;1;1°;Intera proprietà;450;50;;;ottimo/ristrutturato;;None;;;;centralizzato;https://www.immobiliare.it/annunci/83178237/
50;Affitto;centro;Intera proprietà, classe immobile media;50;2;5°;;500;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/83173481/
51;Affitto;centro;Intera proprietà, classe immobile media;110;3;Piano;Intera proprietà;850;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/83095059/
52;Affitto, Concordato;centro;Intera proprietà, classe immobile media;140;5;1°;Classe immobile media;750;250;;;buono/abitabile;;autonomo;;;;centralizzato;https://www.immobiliare.it/annunci/83049413/
53;Affitto;centro;Intera proprietà, classe immobile media;110;4;2°;;690;;;;;;None;;;;;https://www.immobiliare.it/annunci/83028329/
54;Affitto;centro;Intera proprietà, classe immobile media;105;3;3°;Intera proprietà;550;65;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82914385/
55;Affitto, Libero;centro;Intera proprietà, classe immobile media;95;4;Piano;Intera proprietà;750;;;;ottimo/ristrutturato;;None;;;;centralizzato;https://www.immobiliare.it/annunci/82946789/
56;Affitto;centro;Intera proprietà, classe immobile media;56;2;1°;Intera proprietà;500;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/82927217/
