,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
846,1900,assente,completamente arredato,0,1,0,0,0,abitabile,0,2,0,0,60,1 di 2 piani,0,0,€ 1.100 al mese,autonomo,0,€ 10/mese,libero,0,centro-giardini-reali-repubblica
847,0,0,0,Sì,1,Sì,0,Sì,ristrutturato,0,1,0,0,30,0,0,0,€ 300 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
848,0,0,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,2,0,0,€ 400 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
849,0,0,completamente arredato,Sì,1,Sì,0,Sì,nuovo,0,5,0,0,90,5 di 5 piani,0,Sì,€ 1.500 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
850,1900,0,completamente arredato,0,2,Sì,0,Sì,abitabile,0,4,0,0,153,2 di 4 piani,0,0,€ 700 al mese,autonomo,0,€ 80/mese,0,0,centro-giardini-reali-repubblica
851,1900,0,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,52,1 di 4 piani,0,0,€ 550 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
852,1930,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,49,1 di 4 piani,0,0,€ 550 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
853,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,25,4,0,0,€ 270 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
854,0,assente,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,35,1,0,0,€ 380 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
855,1900,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,15,5 di 5 piani,0,0,€ 350 al mese,autonomo,0,€ 20/mese,0,0,centro-giardini-reali-repubblica
856,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,40,4,0,0,€ 550 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
857,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,30,5,0,0,€ 300 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
858,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,30,5,0,0,€ 300 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
859,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,35,ultimo,0,Sì,€ 380 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
860,1856,autonoma,non arredato,Sì,2,Sì,0,0,ristrutturato,0,6,0,0,189,5,0,Sì,€ 1.850 al mese,centralizzato,0,€ 125/mese,libero,0,centro-giardini-reali-repubblica
861,1956,autonoma,parzialmente arredato,Sì,2,Sì,0,Sì,abitabile,0,4,0,0,97,0,0,Sì,€ 850 al mese,centralizzato,0,€ 110/mese,0,0,centro-giardini-reali-repubblica
862,0,autonoma,completamente arredato,0,1,0,0,0,0,0,1,0,0,30,3 di 4 piani,0,0,€ 500 al mese,autonomo,0,€ 30/mese,0,0,centro-giardini-reali-repubblica
863,0,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,70,5 di 5 piani,0,0,€ 1.500 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
864,0,0,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,50,2,0,0,€ 400 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
865,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,30,4,0,0,€ 300 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
866,1900,autonoma,non arredato,Sì,2,Sì,0,Sì,abitabile,0,6,0,0,230,1 di 4 piani,0,0,€ 1.400 al mese,centralizzato,0,€ 150/mese,libero,0,centro-giardini-reali-repubblica
867,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,27,5,0,0,€ 400 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
868,1800,assente,completamente arredato,0,1,0,0,0,ristrutturato,privato,2,0,0,55,piano terra di 2 piani,0,0,€ 1.100 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
869,1856,0,completamente arredato,Sì,2,Sì,0,Sì,ristrutturato,0,3,0,0,70,4,0,0,Trattativa riservata,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
870,1856,0,completamente arredato,Sì,2,0,0,Sì,ristrutturato,0,4,0,0,96,2,0,Sì,Trattativa riservata,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
871,1900,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,40,5 di 5 piani,0,0,€ 420 al mese,centralizzato cont. ind.,0,€ 33/mese,0,0,centro-giardini-reali-repubblica
872,0,assente,completamente arredato,Sì,0,0,0,0,ristrutturato,0,0,0,0,45,4 di 4 piani,0,0,€ 490 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
873,0,autonoma,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,45,1 di 4 piani,0,0,€ 600 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
874,1700,centralizzata,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,1,0,0,35,4 di 6 piani,0,Sì,€ 600 al mese,centralizzato,0,€ 70/mese,libero,0,centro-giardini-reali-repubblica
875,0,autonoma,parzialmente arredato,Sì,1,Sì,1,0,ristrutturato,0,2,1,0,59,3 di 5 piani,0,0,€ 580 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
876,1780,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,0,2,0,0,50,5 di 5 piani,0,0,€ 450 al mese,autonomo,0,0,libero,0,centro-giardini-reali-repubblica
877,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,63,5 di 5 piani,0,0,€ 500 al mese,centralizzato,0,€ 60/mese,0,Sì,centro-giardini-reali-repubblica
878,0,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,70,5 di 5 piani,0,0,€ 1.500 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
879,1900,assente,completamente arredato,Sì,1,0,0,0,abitabile,0,1,0,0,50,6 di 6 piani,0,0,€ 580 al mese,autonomo,Sì,€ 50/mese,0,0,centro-giardini-reali-repubblica
880,1800,centralizzata,completamente arredato,0,1,0,1,0,ristrutturato,privato,1,0,0,30,piano terra di 2 piani,0,0,€ 750 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
881,1800,autonoma,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,68,3 di 6 piani,0,0,€ 1.250 al mese,centralizzato,0,€ 100/mese,libero,0,centro-giardini-reali-repubblica
882,1800,0,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,4,0,0,120,1 di 3 piani,0,0,€ 680 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
883,1880,assente,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,30,1 di 4 piani,0,0,€ 350 al mese,centralizzato,0,€ 70/mese,0,0,centro-giardini-reali-repubblica
884,1900,assente,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,40,ultimo di 4 piani,0,0,€ 400 al mese,centralizzato,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
885,1800,assente,completamente arredato,Sì,1,0,0,Sì,abitabile,0,1,0,0,55,ultimo di 4 piani,0,0,€ 650 al mese,autonomo,0,€ 45/mese,affittato,0,centro-giardini-reali-repubblica
886,0,assente,completamente arredato,Sì,1,0,0,0,ristrutturato,comune,2,0,0,55,5 di 5 piani,0,0,€ 470 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
887,1900,assente,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,2,0,0,45,4 di 5 piani,0,0,€ 450 al mese,autonomo,0,€ 30/mese,libero,0,centro-giardini-reali-repubblica
888,1965,assente,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,3,0,0,75,3 di 4 piani,0,0,€ 450 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
889,0,0,parzialmente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,57,3 di 3 piani,0,0,€ 500 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
890,1890,autonoma,non arredato,Sì,2,Sì,0,Sì,abitabile,0,4,0,0,135,3 di 4 piani,0,Sì,€ 1.200 al mese,centralizzato,0,€ 250/mese,libero,0,centro-giardini-reali-repubblica
891,1940,0,parzialmente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,40,1 di 1 piani,0,0,€ 360 al mese,autonomo,0,€ 35/mese,0,0,centro-giardini-reali-repubblica
892,1964,0,completamente arredato,Sì,2,Sì,0,0,ristrutturato,0,3,0,0,78,1 di 5 piani,0,Sì,€ 800 al mese,centralizzato,0,€ 120/mese,0,0,centro-giardini-reali-repubblica
893,1900,assente,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,70,1 di 5 piani,0,Sì,€ 700 al mese,centralizzato,0,€ 60/mese,libero,0,centro-giardini-reali-repubblica
894,1964,0,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,75,6 di 9 piani,0,0,€ 520 al mese,0,0,0,libero,0,centro-giardini-reali-repubblica
895,0,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,0,2,0,0,52,ultimo,0,Sì,€ 700 al mese,centralizzato,0,€ 100/mese,libero,0,centro-giardini-reali-repubblica
896,1900,assente,non arredato,Sì,1,0,0,0,abitabile,0,2,0,0,90,2 di 5 piani,0,Sì,€ 700 al mese,centralizzato,0,€ 71/mese,libero,0,centro-giardini-reali-repubblica
897,1800,0,non arredato,Sì,2,Sì,0,Sì,ristrutturato,0,4,0,0,200,5,0,Sì,€ 2.300 al mese,autonomo,0,€ 180/mese,libero,0,centro-giardini-reali-repubblica
898,1900,assente,completamente arredato,0,1,0,0,0,abitabile,0,2,0,0,60,1 di 2 piani,0,0,€ 1.100 al mese,autonomo,0,€ 10/mese,libero,0,centro-giardini-reali-repubblica
899,1830,assente,completamente arredato,0,1,Sì,0,0,abitabile,0,4,0,0,85,1,0,0,€ 990 al mese,autonomo,0,€ 67/mese,libero,0,centro-giardini-reali-repubblica
900,1700,assente,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,65,4 di 6 piani,0,0,€ 580 al mese,autonomo,0,€ 40/mese,0,0,centro-giardini-reali-repubblica
901,1860,autonoma,completamente arredato,0,1,Sì,0,0,ristrutturato,0,4,0,0,90,3 di 3 piani,0,0,€ 750 al mese,autonomo,0,€ 135/mese,0,0,centro-giardini-reali-repubblica
902,2017,0,0,Sì,1,Sì,0,0,nuovo,0,2,0,0,45,4 di 5 piani,0,0,€ 850 al mese,centralizzato,0,€ 150/mese,0,0,centro-giardini-reali-repubblica
903,1900,0,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,52,1 di 4 piani,0,0,€ 550 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
904,1930,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,49,1 di 4 piani,0,0,€ 550 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
905,1920,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,0,2,0,0,100,5 di 5 piani,0,Sì,€ 1.500 al mese,centralizzato,0,€ 246/mese,libero,0,centro-giardini-reali-repubblica
906,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,45,1,0,0,€ 600 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
907,2017,0,completamente arredato,Sì,1,0,0,0,nuovo,comune,2,0,0,58,piano terra di 2 piani,0,Sì,€ 950 al mese,autonomo,0,€ 70/mese,libero,0,centro-giardini-reali-repubblica
908,1700,autonoma,parzialmente arredato,Sì,2,0,0,Sì,ristrutturato,0,5,0,0,190,5 di 5 piani,0,Sì,€ 2.300 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
909,1960,assente,parzialmente arredato,0,1,0,0,0,ristrutturato,privato,3,0,0,70,piano terra di 2 piani,0,0,€ 750 al mese,autonomo,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
910,1900,assente,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,2,0,0,55,3 di 4 piani,0,0,€ 500 al mese,autonomo,0,€ 67/mese,libero,0,centro-giardini-reali-repubblica
911,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,40,4,0,Sì,€ 480 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
912,1684,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,50,1 di 4 piani,0,0,€ 680 al mese,centralizzato,0,€ 100/mese,libero,0,centro-giardini-reali-repubblica
913,1960,autonoma,completamente arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,45,3 di 5 piani,0,0,€ 450 al mese,autonomo,0,€ 40/mese,libero,0,centro-giardini-reali-repubblica
914,1900,0,parzialmente arredato,Sì,1,Sì,0,0,0,0,2,0,0,30,5 di 5 piani,0,0,€ 400 al mese,autonomo,0,€ 25/mese,0,0,centro-giardini-reali-repubblica
915,1700,0,parzialmente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,52,3 di 4 piani,0,0,€ 450 al mese,autonomo,0,€ 35/mese,libero,0,centro-giardini-reali-repubblica
916,1800,centralizzata,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,comune,2,0,0,48,3 di 4 piani,0,0,€ 650 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
917,1800,assente,completamente arredato,Sì,1,0,0,0,abitabile,0,1,0,0,36,2 di 5 piani,0,0,€ 500 al mese,autonomo,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
918,1800,0,completamente arredato,0,1,Sì,0,Sì,abitabile,0,3,0,0,75,2 di 4 piani,0,0,€ 600 al mese,autonomo,0,€ 20/mese,0,0,centro-giardini-reali-repubblica
919,1900,autonoma,completamente arredato,Sì,1,0,0,0,ristrutturato,comune,3,0,0,50,2 di 6 piani,0,0,€ 980 al mese,autonomo,0,0,libero,0,centro-giardini-reali-repubblica
920,1853,assente,completamente arredato,Sì,2,Sì,0,0,abitabile,comune,2,0,0,65,6 di 6 piani,0,Sì,€ 750 al mese,autonomo,0,€ 120/mese,libero,0,centro-giardini-reali-repubblica
921,1900,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,comune,2,0,0,50,ultimo di 4 piani,0,0,€ 840 al mese,autonomo,0,0,libero,0,centro-giardini-reali-repubblica
922,0,autonoma,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,80,4 di 5 piani,0,0,€ 750 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
923,0,autonoma,parzialmente arredato,Sì,3,Sì,0,Sì,abitabile,0,5,0,0,220,5 di 6 piani,0,0,€ 1.800 al mese,autonomo,0,€ 300/mese,libero,0,centro-giardini-reali-repubblica
924,2020,autonoma,completamente arredato,Sì,1,Sì,0,Sì,nuovo,0,2,0,0,54,5 di 6 piani,0,0,€ 1.300 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
925,1920,0,non arredato,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,80,4 di 4 piani,0,0,€ 450 al mese,centralizzato,0,€ 60/mese,0,0,centro-giardini-reali-repubblica
926,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,33,1 di 5 piani,0,0,€ 500 al mese,autonomo,0,€ 25/mese,0,0,centro-giardini-reali-repubblica
927,1900,assente,parzialmente arredato,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,90,2 di 4 piani,0,Sì,€ 750 al mese,autonomo,0,€ 115/mese,0,0,centro-giardini-reali-repubblica
928,0,0,completamente arredato,Sì,2,Sì,0,Sì,ristrutturato,0,3,0,0,90,1,0,0,€ 900 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
929,1900,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,40,5 di 5 piani,0,0,€ 420 al mese,centralizzato cont. ind.,0,€ 33/mese,0,0,centro-giardini-reali-repubblica
930,0,0,non arredato,0,1,Sì,0,Sì,ristrutturato,0,4,0,0,120,2,0,0,€ 800 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
931,0,0,non arredato,Sì,1,Sì,0,Sì,ristrutturato,0,4,0,0,70,4,0,0,€ 380 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
932,0,0,completamente arredato,0,2,Sì,0,0,ristrutturato,0,4,0,0,120,1,0,0,€ 700 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
933,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,20,2,0,0,€ 390 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
934,1900,assente,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,40,1 di 2 piani,0,0,€ 1.100 al mese,autonomo,0,€ 150/mese,libero,0,centro-giardini-reali-repubblica
935,1900,assente,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,40,3 di 4 piani,0,0,€ 800 al mese,autonomo,0,€ 150/mese,libero,0,centro-giardini-reali-repubblica
936,1920,0,completamente arredato,0,1,0,0,0,abitabile,0,2,0,0,40,ultimo,0,0,€ 420 al mese,0,0,€ 30/mese,0,0,centro-giardini-reali-repubblica
937,0,0,non arredato,0,1,Sì,0,Sì,ristrutturato,0,3,0,0,50,4,0,0,€ 400 al mese,centralizzato cont. ind.,0,0,0,0,centro-giardini-reali-repubblica
938,0,0,completamente arredato,0,1,Sì,0,Sì,abitabile,0,3,0,0,45,3,0,0,€ 350 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
939,0,0,0,0,1,0,0,0,0,0,1,0,0,55,0,0,0,€ 550 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
940,0,0,0,0,1,0,0,0,0,0,1,0,0,60,0,0,0,€ 400 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
941,1700,autonoma,parzialmente arredato,Sì,2,0,0,Sì,ristrutturato,0,4,0,0,143,3 di 4 piani,0,Sì,€ 1.650 al mese,autonomo,0,€ 210/mese,0,0,centro-giardini-reali-repubblica
942,1700,autonoma,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,59,4 di 4 piani,0,Sì,€ 900 al mese,autonomo,0,€ 76/mese,0,0,centro-giardini-reali-repubblica
943,1700,autonoma,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,46,2 di 4 piani,0,Sì,€ 650 al mese,autonomo,0,€ 52/mese,0,0,centro-giardini-reali-repubblica
944,0,assente,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,55,0,0,0,€ 550 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
945,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,4,0,0,120,0,0,0,€ 600 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
946,0,assente,completamente arredato,Sì,0,Sì,0,0,ristrutturato,0,0,0,0,80,2 di 4 piani,0,0,€ 850 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
947,0,0,0,0,1,0,0,0,0,0,3,0,0,70,3 di 3 piani,0,0,€ 400 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
948,0,0,0,0,1,0,0,0,0,0,1,0,0,35,2 di 3 piani,0,0,€ 350 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
949,1940,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,0,2,0,0,70,1 di 4 piani,0,0,€ 1.000 al mese,centralizzato,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
950,0,0,completamente arredato,Sì,2,Sì,1,Sì,abitabile,0,6,0,0,125,2,0,Sì,€ 1.700 al mese,centralizzato,0,€ 160/mese,affittato,Sì,centro-giardini-reali-repubblica
951,0,0,0,0,1,0,0,0,0,0,3,0,0,70,3 di 3 piani,0,0,€ 400 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
952,1931,0,completamente arredato,Sì,2,0,0,0,ristrutturato,0,4,0,0,80,4 di 4 piani,0,Sì,€ 1.800 al mese,centralizzato,0,€ 12/mese,libero,Sì,centro-giardini-reali-repubblica
953,1960,autonoma,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,60,6,0,Sì,€ 750 al mese,centralizzato,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
954,1950,autonoma,completamente arredato,Sì,2,Sì,0,0,ristrutturato,0,3,0,0,70,ultimo di 5 piani,0,0,€ 1.200 al mese,autonomo,0,0,libero,0,centro-giardini-reali-repubblica
955,1950,autonoma,completamente arredato,0,2,Sì,0,0,ristrutturato,0,3,0,0,70,5 di 5 piani,0,0,€ 650 al mese,autonomo,0,€ 50/mese,libero,0,centro-giardini-reali-repubblica
956,1920,autonoma,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,50,1,0,Sì,€ 580 al mese,centralizzato,0,€ 60/mese,libero,0,centro-giardini-reali-repubblica
957,1822,assente,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,70,1 di 3 piani,0,Sì,€ 220 al mese,autonomo,0,0,affittato,0,centro-giardini-reali-repubblica
958,1800,autonoma,completamente arredato,Sì,1,0,0,0,abitabile,0,3,0,0,44,ultimo di 5 piani,0,Sì,€ 570 al mese,autonomo,0,€ 37/mese,libero,0,centro-giardini-reali-repubblica
959,1856,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,4,0,0,91,5,0,0,Trattativa riservata,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
960,1900,0,completamente arredato,0,1,0,0,Sì,ristrutturato,0,2,0,0,45,piano terra di 2 piani,0,0,€ 600 al mese,autonomo,0,€ 60/mese,0,0,centro-giardini-reali-repubblica
961,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,40,3,0,0,€ 500 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
962,1900,0,completamente arredato,Sì,1,0,0,0,0,0,4,0,0,100,0,0,0,€ 1.000 al mese,0,0,€ 100/mese,0,0,centro-giardini-reali-repubblica
963,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,3,0,0,55,5 di 5 piani,0,0,€ 520 al mese,autonomo,0,0,0,0,centro-giardini-reali-repubblica
964,1880,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,45,piano terra di 5 piani,0,0,€ 380 al mese,autonomo,0,€ 25/mese,0,0,centro-giardini-reali-repubblica
965,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,40,1 di 1 piani,0,0,€ 470 al mese,autonomo,0,0,libero,0,centro-giardini-reali-repubblica
966,0,autonoma,completamente arredato,Sì,2,Sì,1,Sì,ristrutturato,0,5,0,0,220,ultimo di 4 piani,0,Sì,€ 2.350 al mese,autonomo,0,€ 300/mese,0,Sì,centro-giardini-reali-repubblica
967,1853,0,completamente arredato,0,1,Sì,0,Sì,0,0,3,0,0,80,0,0,Sì,€ 840 al mese,centralizzato cont. ind.,0,€ 60/mese,0,0,centro-giardini-reali-repubblica
968,1700,assente,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,1,0,0,46,3 di 5 piani,0,0,€ 450 al mese,autonomo,0,€ 40/mese,libero,0,centro-giardini-reali-repubblica
969,0,0,parzialmente arredato,Sì,2,Sì,0,Sì,abitabile,0,7,0,0,138,ultimo,0,Sì,€ 1.300 al mese,centralizzato,0,€ 80/mese,libero,0,centro-giardini-reali-repubblica
970,1800,0,completamente arredato,Sì,1,0,0,0,abitabile,comune,1,0,0,35,1,0,Sì,€ 500 al mese,autonomo,0,€ 50/mese,affittato,0,centro-giardini-reali-repubblica
971,1940,0,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,65,3,0,0,€ 700 al mese,centralizzato,0,€ 70/mese,affittato,0,centro-giardini-reali-repubblica
972,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,85,1 di 5 piani,0,0,€ 750 al mese,0,0,0,0,0,centro-giardini-reali-repubblica
973,1856,autonoma,parzialmente arredato,Sì,2,0,0,0,ristrutturato,0,6,0,0,148,5,0,Sì,€ 1.450 al mese,centralizzato,0,€ 83/mese,libero,0,centro-giardini-reali-repubblica
974,0,assente,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,40,4 di 4 piani,0,0,€ 400 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
975,1900,0,completamente arredato,0,2,Sì,0,Sì,abitabile,0,4,0,0,153,2 di 4 piani,0,0,€ 700 al mese,autonomo,0,€ 80/mese,0,0,centro-giardini-reali-repubblica
976,0,0,completamente arredato,Sì,1,0,0,0,0,0,2,0,0,74,4 di 7 piani,0,0,€ 1.300 al mese,centralizzato,0,0,0,0,centro-giardini-reali-repubblica
977,1900,0,completamente arredato,Sì,1,Sì,1,Sì,abitabile,0,2,0,0,70,su più livelli di 5 piani,0,Sì,€ 850 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
978,1930,autonoma,parzialmente arredato,Sì,1,0,0,Sì,abitabile,0,1,0,0,40,5,0,Sì,€ 600 al mese,autonomo,0,€ 66/mese,0,0,centro-giardini-reali-repubblica
979,1960,assente,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,2,0,0,75,3 di 4 piani,0,0,€ 680 al mese,centralizzato,0,€ 75/mese,libero,0,centro-giardini-reali-repubblica
980,1700,0,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,1,0,0,50,4 di 5 piani,0,Sì,€ 620 al mese,centralizzato cont. ind.,0,€ 60/mese,libero,0,centro-giardini-reali-repubblica
981,0,0,completamente arredato,0,0,0,0,0,0,0,3,0,0,85,1,0,Sì,€ 1.000 al mese,centralizzato,0,€ 200/mese,0,0,centro-giardini-reali-repubblica
982,1850,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,1,0,0,25,5 di 5 piani,0,Sì,€ 350 al mese,centralizzato,0,€ 30/mese,0,0,centro-giardini-reali-repubblica
983,1939,0,0,Sì,2,Sì,0,Sì,0,0,6,0,0,203,3 di 5 piani,0,0,€ 2.200 al mese,centralizzato,0,€ 230/mese,libero,0,centro-giardini-reali-repubblica
984,1970,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,60,3 di 5 piani,0,0,€ 700 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
985,1970,0,completamente arredato,Sì,1,Sì,0,0,0,0,1,0,0,40,3 di 5 piani,0,0,€ 500 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
986,2006,assente,non arredato,0,2,0,0,Sì,ristrutturato,0,3,0,0,130,piano terra di 2 piani,0,0,€ 650 al mese,autonomo,0,€ 50/mese,0,0,centro-giardini-reali-repubblica
987,0,autonoma,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,66,2 di 2 piani,0,0,€ 950 al mese,centralizzato,0,0,libero,0,centro-giardini-reali-repubblica
