,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
39,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,35,3,0,0,€ 310 al mese,autonomo,0,0,0,0,aurora
40,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,30,3,0,0,€ 280 al mese,autonomo,0,0,0,0,aurora
41,0,0,completamente arredato,0,1,0,0,Sì,ristrutturato,0,2,0,0,30,5,0,0,€ 400 al mese,autonomo,0,0,0,0,aurora
42,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,2,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
43,0,assente,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,45,piano terra,0,0,€ 420 al mese,autonomo,0,0,0,0,aurora
44,0,0,0,0,1,0,0,0,0,0,1,0,0,45,0,0,0,€ 300 al mese,0,0,0,0,0,aurora
45,0,assente,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,75,3,0,0,€ 500 al mese,centralizzato,0,0,0,0,aurora
46,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,45,3,0,0,€ 275 al mese,centralizzato cont. ind.,0,0,0,0,aurora
47,0,0,0,0,1,0,0,0,0,0,2,0,0,75,0,0,0,€ 500 al mese,0,0,0,0,0,aurora
48,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,25,4,0,0,€ 160 al mese,autonomo,0,0,0,0,aurora
49,0,0,completamente arredato,Sì,1,Sì,0,0,0,0,3,0,0,75,3,0,0,€ 500 al mese,0,0,0,0,0,aurora
50,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,75,3,0,0,€ 500 al mese,centralizzato cont. ind.,0,0,0,0,aurora
51,1940,0,parzialmente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,40,ultimo di 2 piani,0,0,€ 400 al mese,autonomo,0,€ 35/mese,0,0,aurora
52,0,0,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,75,5 di 5 piani,0,0,€ 450 al mese,centralizzato,0,€ 700/mese,0,0,aurora
53,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,1,0,0,35,1,0,0,€ 230 al mese,autonomo,0,0,0,0,aurora
54,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,60,2,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
55,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,2,0,0,60,1,0,0,€ 400 al mese,autonomo,0,0,0,0,aurora
56,1920,assente,completamente arredato,0,1,0,0,Sì,ristrutturato,comune,2,0,0,40,piano terra di 4 piani,0,0,€ 400 al mese,autonomo,0,€ 25/mese,libero,0,aurora
