;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
43;               Affitto, 4+4            ;centro;Intera proprietà;55;2;2°;Intera proprietà;720;50;3.0;1900.0;ottimo/ristrutturato;autonomo;autonomo;               C              
44;               Affitto            ;centro;Intera proprietà;105;5;Piano;Intera proprietà;2250;;;2018.0;nuovo/incostruzione;centralizzato;autonomo;
45;               Affitto, 3+2            ;centro;Intera proprietà;150;5;Su;Intera proprietà;1200;189;113.0;1930.0;buono/abitabile;centralizzato;None;               E              
46;               Affitto, 4+4            ;centro;Intera proprietà;70;3;3°;Intera proprietà;650;70;;;ottimo/ristrutturato;autonomo;None;
47;               Affitto, libero            ;centro;Intera proprietà;70;3;4°;Intera proprietà;750;70;;;ottimo/ristrutturato;autonomo;None;
48;               Affitto, libero            ;centro;Intera proprietà;196;5;1°;Intera proprietà;3000;350;;1876.0;ottimo/ristrutturato;autonomo;None;
49;               Affitto, libero            ;centro;Intera proprietà;50;1;3°;Intera proprietà;500;;;;ottimo/ristrutturato;autonomo;None;               D              
50;               Affitto, libero            ;centro;Intera proprietà;55;2;3°;Intera proprietà;550;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
51;               Affitto, libero            ;centro;Intera proprietà;160;4;1°;Intera proprietà;1000;;;1900.0;buono/abitabile;centralizzato;assente;               G              
52;               Affitto            ;centro;Intera proprietà;45;2;3°;Intera proprietà;580;80;41.0;1760.0;ottimo/ristrutturato;centralizzato;assente;
53;               Affitto            ;centro;Intera proprietà;60;3;Ultimo;Intera proprietà;830;60;;1900.0;ottimo/ristrutturato;centralizzato;None;               G              
54;               Affitto, 4+4            ;centro;Intera proprietà;115;4;3°;Classe immobile signorile;1700;125;95.0;1960.0;buono/abitabile;centralizzato;assente;               F              
55;               Affitto            ;centro;Intera proprietà;113;3;Ultimo;Intera proprietà;1600;134;;1800.0;ottimo/ristrutturato;centralizzato;None;
56;               Affitto, 4+4            ;centro;Intera proprietà;56;2;1°;Intera proprietà;850;50;40.0;1800.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
57;               Affitto, 4+4            ;centro;Intera proprietà;142;3;1°;Intera proprietà;1300;120;135.0;1843.0;buono/abitabile;centralizzato;None;               F              
58;               Affitto            ;centro;Intera proprietà;130;5;Con;;1100;;;;ottimo/ristrutturato;centralizzato;assente;
59;               Affitto, 4+4            ;centro;Intera proprietà;50;2;4°;Intera proprietà;1100;900;;2012.0;ottimo/ristrutturato;centralizzato;autonomo;               A              
60;               Affitto, libero            ;centro;Intera proprietà;60;3;2°;Intera proprietà;620;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
61;               Affitto, libero            ;centro;Intera proprietà;40;1;5°;Intera proprietà;450;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
62;               Affitto, 3+2            ;centro;Intera proprietà;98;4;3°;Intera proprietà;790;115;66.0;1930.0;buono/abitabile;centralizzato;assente;               E              
63;               Affitto, concordato            ;centro;Intera proprietà;80;3;1°;Intera proprietà;550;58;;1900.0;;autonomo;None;               F              
64;               Affitto, 4+4            ;centro;Intera proprietà;115;4;4°;Classe immobile signorile;1200;125;95.0;1960.0;buono/abitabile;centralizzato;assente;               D              
65;               Affitto, libero            ;centro;Intera proprietà;75;3;3°;Intera proprietà;650;60;75.0;1930.0;buono/abitabile;centralizzato;assente;
66;               Affitto, transitorio            ;centro;Intera proprietà;41;1;3°;Intera proprietà;500;80;;1940.0;ottimo/ristrutturato;centralizzato;assente;               F              
67;               Affitto            ;centro;Intera proprietà;40;1;2°;Classe immobile signorile;450;50;;;;autonomo;None;
68;               Affitto, 4+4            ;centro;Intera proprietà;80;3;5°;Intera proprietà;650;60;91.0;1800.0;ottimo/ristrutturato;autonomo;None;               C              
69;               Affitto            ;centro;Intera proprietà;45;1;Ultimo;Intera proprietà;500;60;;;;assente;None;               B              
70;               Affitto, 4+4            ;centro;Intera proprietà;200;5;2°;Intera proprietà;2200;;25.0;1800.0;nuovo/incostruzione;centralizzato;autonomo;               C              
71;               Affitto            ;centro;Intera proprietà;113;2;Ultimo;Intera proprietà;1600;134;112.0;;ottimo/ristrutturato;centralizzato;autonomo;
72;               Affitto, libero            ;centro;Intera proprietà;140;4;2°;Intera proprietà;1200;90;100.0;;ottimo/ristrutturato;centralizzato;None;
73;               Affitto, 3+2            ;centro;Intera proprietà;230;5;1°;Intera proprietà;1400;120;208.0;1900.0;ottimo/ristrutturato;centralizzato;None;               G              
74;               Affitto, libero            ;centro;Intera proprietà;61;2;7°;Intera proprietà;500;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
75;               Affitto, 4+4            ;centro;Intera proprietà;200;5;2°;Intera proprietà;3000;200;;;ottimo/ristrutturato;autonomo;assente;               D              
76;               Affitto, 4+4            ;centro;Intera proprietà;190;4;4°;Intera proprietà;1800;150;;;ottimo/ristrutturato;autonomo;assente;               B              
77;               Affitto            ;centro;Intera proprietà;195;5;3°;Intera proprietà;1200;;;1800.0;buono/abitabile;autonomo;assente;               C              
78;               Affitto, 4+4            ;centro;Intera proprietà;45;2;4°;Intera proprietà;470;80;;1900.0;ottimo/ristrutturato;autonomo;None;               D              
79;               Affitto, 4+4            ;centro;Intera proprietà;80;3;1°;Intera proprietà;870;130;;1900.0;ottimo/ristrutturato;autonomo;None;               G              
80;               Affitto            ;centro;Intera proprietà;65;2;3°;Intera proprietà;650;83;;1800.0;ottimo/ristrutturato;autonomo;None;               B              
81;               Affitto, 4+4            ;centro;Intera proprietà;135;4;1°;Intera proprietà;1300;200;;;ottimo/ristrutturato;autonomo;assente;               D              
82;               Affitto, 4+4            ;centro;Intera proprietà;55;2;1°;Intera proprietà;1200;;58.0;1910.0;ottimo/ristrutturato;centralizzato;predisposizione impianto;               D              
