;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
443;               Affitto            ;centro;Intera proprietà;34;2;Ultimo;Intera proprietà;480;50;;;buono/abitabile;assente;None;
444;               Affitto, transitorio            ;centro;Intera proprietà;66;2;4°;Intera proprietà;1100;;;1963.0;ottimo/ristrutturato;centralizzato;predisposizione impianto;               F              
445;               Affitto, libero            ;centro;Intera proprietà;300;5;4°;Intera proprietà;2200;400;;1750.0;ottimo/ristrutturato;autonomo;assente;               C              
446;               Affitto            ;centro;Intera proprietà;75;3;4°;Immobile di lusso;1100;73;;;ottimo/ristrutturato;autonomo;None;               D              
447;               Affitto, libero            ;centro;Intera proprietà;45;2;3°;Intera proprietà;500;60;;1960.0;ottimo/ristrutturato;centralizzato;assente;               G              
448;               Affitto, 4+4            ;centro;Intera proprietà;50;1;5°;Intera proprietà;550;50;;1900.0;ottimo/ristrutturato;centralizzato;None;
449;               Affitto            ;centro;Intera proprietà;50;1;2°;Intera proprietà;500;70;;;buono/abitabile;autonomo;assente;
450;               Affitto, transitorio            ;centro;Intera proprietà;55;2;4°;Intera proprietà;1100;80;5.0;2013.0;nuovo/incostruzione;autonomo;autonomo;               A+              
451;               Affitto            ;centro;Intera proprietà;440;5;Con;Intera proprietà;3150;;;1900.0;ottimo/ristrutturato;centralizzato;None;
453;               Affitto            ;centro;Intera proprietà;65;2;3°;Intera proprietà;1000;;;1800.0;ottimo/ristrutturato;centralizzato;None;               C              
454;               Affitto            ;centro;Intera proprietà;35;1;4°;Intera proprietà;650;50;;;ottimo/ristrutturato;autonomo;None;
455;               Affitto            ;centro;Intera proprietà;25;1;2°;Intera proprietà;350;30;;1900.0;buono/abitabile;autonomo;None;               D              
456;               Affitto, 4+4            ;centro;Intera proprietà;50;2;3°;Intera proprietà;600;50;;1900.0;ottimo/ristrutturato;centralizzato;None;
457;               Affitto, libero            ;centro;Intera proprietà;160;4;Ultimo;Intera proprietà;1850;200;166.0;;ottimo/ristrutturato;centralizzato;autonomo;               D              
458;               Affitto            ;centro;Intera proprietà;70;2;Ultimo;Classe immobile signorile;1100;;;1900.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
459;               Affitto, 4+4            ;centro;Intera proprietà;65;3;2°;Intera proprietà;720;100;;;ottimo/ristrutturato;autonomo;None;               E              
460;               Affitto, 4+4            ;centro;Intera proprietà;120;4;3°;Intera proprietà;1300;130;;1900.0;ottimo/ristrutturato;autonomo;autonomo;               C              
461;               Affitto, libero            ;centro;Intera proprietà;79;2;Ultimo;Intera proprietà;700;150;50.0;1800.0;ottimo/ristrutturato;autonomo;assente;               F              
462;               Affitto, libero            ;centro;Intera proprietà;66;2;3°;Intera proprietà;750;75;79.0;2012.0;nuovo/incostruzione;centralizzato;centralizzato;               B              
463;               Affitto, 4+4            ;centro;Intera proprietà;55;2;4°;Intera proprietà;750;110;;1850.0;ottimo/ristrutturato;autonomo;None;               C              
464;               Affitto, 4+4            ;centro;Intera proprietà;45;1;4°;Intera proprietà;550;90;;1850.0;ottimo/ristrutturato;autonomo;None;               C              
465;               Affitto, 4+4            ;centro;Intera proprietà;110;4;1°;Intera proprietà;1000;300;;1800.0;ottimo/ristrutturato;centralizzato;assente;               E              
466;               Affitto, 4+4            ;centro;Intera proprietà;67;2;3°;;650;200;;1600.0;ottimo/ristrutturato;autonomo;None;               D              
467;               Affitto            ;centro;Intera proprietà;40;2;3°;Intera proprietà;450;;;;buono/abitabile;autonomo;None;               Non classificabile              
468;               Affitto            ;centro;Intera proprietà;23;1;Piano;Intera proprietà;440;;;;buono/abitabile;centralizzato;None;               Non classificabile              
469;               Affitto            ;centro;Intera proprietà;25;1;1°;Intera proprietà;350;;;;buono/abitabile;autonomo;None;               Non classificabile              
470;               Affitto            ;centro;Intera proprietà;25;1;Piano;Intera proprietà;340;;;;buono/abitabile;autonomo;None;               Non classificabile              
471;               Affitto            ;centro;Intera proprietà;40;2;1°;Intera proprietà;400;;;;ottimo/ristrutturato;autonomo;None;               Non classificabile              
472;               Affitto            ;centro;Intera proprietà;40;2;Piano;Intera proprietà;270;;;;buono/abitabile;autonomo;None;               Non classificabile              
473;               Affitto            ;centro;Intera proprietà;74;2;4°;Classe immobile signorile;550;;;;ottimo/ristrutturato;autonomo;None;               F              
474;               Affitto            ;crocetta;Intera proprietà;20;1;7°;Intera proprietà;300;;;;buono/abitabile;autonomo;None;               Non classificabile              
475;               Affitto, 4+4            ;crocetta;Intera proprietà;60;3;7°;Intera proprietà;580;70;16.0;;ottimo/ristrutturato;centralizzato;predisposizione impianto;               D              
476;               Affitto, libero            ;crocetta;Intera proprietà;60;3;7°;Nuda proprietà;550;;;;ottimo/ristrutturato;centralizzato;None;               A+              
477;               Affitto, concordato            ;crocetta;Intera proprietà;48;2;4°;Intera proprietà;370;40;;1920.0;buono/abitabile;autonomo;None;               F              
478;               Affitto, 4+4            ;crocetta;Intera proprietà;71;4;1°;Intera proprietà;500;1;0.0;1900.0;buono/abitabile;centralizzato;assente;               G              
479;               Affitto, libero            ;crocetta;Intera proprietà;115;5;2°;Intera proprietà;1200;;;;ottimo/ristrutturato;autonomo;None;               D              
480;               Affitto, 4+4            ;crocetta;Intera proprietà;140;5;1°;Intera proprietà;1200;90;91.0;1800.0;ottimo/ristrutturato;centralizzato;None;               D              
481;               Affitto            ;crocetta;Intera proprietà;115;5;Con;Intera proprietà;1200;90;91.0;1900.0;buono/abitabile;centralizzato;assente;
482;               Affitto, 4+4            ;crocetta;Intera proprietà;76;4;Con;Intera proprietà;720;117;141.0;1900.0;buono/abitabile;centralizzato;assente;
483;               Affitto            ;crocetta;Intera proprietà;120;5;1°;Intera proprietà;1200;;;1960.0;ottimo/ristrutturato;centralizzato;None;               D              
484;               Affitto, libero            ;crocetta;Intera proprietà;25;1;2°;Intera proprietà;320;;;;buono/abitabile;autonomo;None;
485;               Affitto, 3+2            ;crocetta;Intera proprietà;75;3;4°;Intera proprietà;580;70;83.0;1970.0;buono/abitabile;centralizzato;assente;               C              
486;               Affitto, 3+2            ;crocetta;Intera proprietà;135;4;3°;Intera proprietà;1300;267;141.0;1970.0;ottimo/ristrutturato;centralizzato;assente;               D              
487;               Affitto, 4+4            ;crocetta;Intera proprietà;120;4;4°;Intera proprietà;1100;130;;;ottimo/ristrutturato;autonomo;autonomo;               D              
488;               Affitto            ;crocetta;Intera proprietà;70;3;7°;Intera proprietà;500;;;1980.0;ottimo/ristrutturato;autonomo;assente;               D              
489;               Affitto            ;crocetta;Intera proprietà;95;4;2°;Intera proprietà;800;;;1976.0;ottimo/ristrutturato;centralizzato;assente;               E              
490;               Affitto, libero            ;crocetta;Intera proprietà;30;1;4°;Intera proprietà;350;;;;buono/abitabile;centralizzato;None;
491;               Affitto, studenti (6-36 mesi)            ;crocetta;Intera proprietà;20;1;3°;Intera proprietà;450;;;1900.0;ottimo/ristrutturato;centralizzato;None;               C              
492;               Affitto, 4+4            ;crocetta;Intera proprietà;70;3;Piano;Intera proprietà;550;80;75.0;1940.0;buono/abitabile;centralizzato;assente;               E              
493;               Affitto, 4+4            ;crocetta;Intera proprietà;65;3;1°;Intera proprietà;500;;;;ottimo/ristrutturato;centralizzato;autonomo;               D              
494;               Affitto, 3+2            ;crocetta;Intera proprietà;180;5;6°;Intera proprietà;1100;1.175;100.0;1950.0;buono/abitabile;centralizzato;assente;               E              
495;               Affitto, transitorio            ;crocetta;Intera proprietà;205;5;5°;Intera proprietà;1750;210;125.0;1960.0;ottimo/ristrutturato;centralizzato;None;               D              
496;               Affitto            ;crocetta;Intera proprietà;40;2;1°;Classe immobile signorile;390;70;;;;autonomo;assente;
497;               Affitto, transitorio            ;crocetta;Intera proprietà;41;1;3°;Intera proprietà;500;80;;1940.0;ottimo/ristrutturato;centralizzato;None;               F              
498;               Affitto, studenti (6-36 mesi)            ;crocetta;Intera proprietà;220;5;4°;;1260;;200.0;1970.0;ottimo/ristrutturato;centralizzato;assente;               D              
499;               Affitto, studenti (6-36 mesi)            ;crocetta;Intera proprietà;20;1;Piano;Intera proprietà;520;;;1970.0;ottimo/ristrutturato;centralizzato;assente;               E              
500;               Affitto, libero            ;crocetta;Intera proprietà;45;2;Piano;Intera proprietà;500;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
501;               Affitto, concordato            ;crocetta;Intera proprietà;230;5;2°;Intera proprietà;1500;200;;;buono/abitabile;centralizzato;None;               F              
502;               Affitto, 4+4            ;crocetta;Intera proprietà;25;1;3°;Intera proprietà;350;40;40.0;;buono/abitabile;centralizzato;None;               F              
503;               Affitto, studenti (6-36 mesi)            ;crocetta;Intera proprietà;45;2;Ultimo;Intera proprietà;400;50;50.0;1960.0;buono/abitabile;centralizzato;assente;               E              
504;               Affitto, libero            ;crocetta;Intera proprietà;70;2;Piano;Intera proprietà;750;;;2010.0;ottimo/ristrutturato;centralizzato;None;               B              
505;               Affitto, 4+4            ;crocetta;Intera proprietà;70;3;6°;Intera proprietà;950;50;83.0;1950.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
506;               Affitto, 4+4            ;crocetta;Intera proprietà;60;3;6°;Intera proprietà;580;40;33.0;1960.0;ottimo/ristrutturato;centralizzato;assente;
507;               Affitto, 4+4            ;crocetta;Intera proprietà;77;3;5°;Intera proprietà;800;100;;;buono/abitabile;centralizzato;None;               D              
508;               Affitto            ;crocetta;Intera proprietà;100;3;Ultimo;Intera proprietà;850;80;;1800.0;ottimo/ristrutturato;autonomo;autonomo;               C              
509;               Affitto            ;crocetta;Intera proprietà;100;2;3°;Intera proprietà;700;60;50.0;1900.0;buono/abitabile;centralizzato;centralizzato;               G              
510;               Affitto, 3+2            ;crocetta;Intera proprietà;55;2;3°;Classe immobile signorile;500;50;66.0;1950.0;buono/abitabile;centralizzato;None;               G              
511;               Affitto            ;crocetta;Intera proprietà;180;5;4°;;1000;;;;buono/abitabile;centralizzato;assente;               C              
512;               Affitto, libero            ;crocetta;Intera proprietà;30;1;1°;Intera proprietà;320;;;1900.0;buono/abitabile;centralizzato;assente;               G              
513;               Affitto, 4+4            ;crocetta;Intera proprietà;60;2;4°;Intera proprietà;550;50;41.0;1900.0;buono/abitabile;centralizzato;assente;
514;               Affitto            ;crocetta;Intera proprietà;50;2;3°;Classe immobile signorile;850;;;2017.0;nuovo/incostruzione;autonomo;None;               A+              
515;               Affitto, 4+4            ;crocetta;Intera proprietà;55;3;1°;Intera proprietà;550;55;;1980.0;buono/abitabile;autonomo;assente;               D              
516;               Affitto, 4+4            ;crocetta;Intera proprietà;90;4;Ultimo;Intera proprietà;800;75;103.0;1960.0;buono/abitabile;centralizzato;assente;               G              
517;               Affitto            ;crocetta;Intera proprietà;190;5;3°;Intera proprietà;1750;100;150.0;1920.0;ottimo/ristrutturato;centralizzato;assente;
518;               Affitto, 4+4            ;crocetta;Intera proprietà;35;1;Con;Intera proprietà;350;30;33.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
519;               Affitto, 4+4            ;crocetta;Intera proprietà;50;2;Piano;Intera proprietà;410;45;54.0;1960.0;ottimo/ristrutturato;centralizzato;None;               G              
521;               Affitto, 4+4            ;crocetta;Intera proprietà;90;4;3°;Intera proprietà;1000;90;83.0;1935.0;ottimo/ristrutturato;centralizzato;None;               D              
522;               Affitto, 4+4            ;crocetta;Intera proprietà;120;4;1°;Intera proprietà;1100;110;100.0;1940.0;buono/abitabile;centralizzato;assente;               C              
523;               Affitto, transitorio            ;crocetta;Intera proprietà;114;4;5°;Intera proprietà;850;100;66.0;;;centralizzato;autonomo;               C              
524;               Affitto, transitorio            ;crocetta;Intera proprietà;80;3;1°;Intera proprietà;325;75;50.0;1940.0;ottimo/ristrutturato;centralizzato;assente;               G              
525;               Affitto, 4+4            ;crocetta;Intera proprietà;105;3;1°;Intera proprietà;1750;120;166.0;1800.0;ottimo/ristrutturato;centralizzato;assente;               D              
526;               Affitto            ;crocetta;Intera proprietà;300;5;Con;Intera proprietà;2850;;;;;;autonomo;               G              
527;               Affitto            ;crocetta;Intera proprietà;220;5;Piano;Intera proprietà;3200;167;;1900.0;;centralizzato;None;               G              
528;               Affitto, libero            ;crocetta;Intera proprietà;150;4;3°;Intera proprietà;1200;200;166.0;1975.0;ottimo/ristrutturato;centralizzato;None;               E              
529;               Affitto, libero            ;crocetta;Intera proprietà;90;4;3°;Intera proprietà;750;;;1980.0;ottimo/ristrutturato;autonomo;None;               B              
530;               Affitto, 4+4            ;crocetta;Intera proprietà;80;3;3°;Intera proprietà;650;30;70.0;1960.0;ottimo/ristrutturato;centralizzato;None;               D              
531;               Affitto            ;crocetta;Intera proprietà;80;3;1°;Intera proprietà;850;60;;;ottimo/ristrutturato;centralizzato;None;               F              
532;               Affitto, 4+4            ;crocetta;Intera proprietà;95;3;2°;Intera proprietà;700;70;;1880.0;buono/abitabile;autonomo;assente;               F              
533;               Affitto, 4+4            ;crocetta;Intera proprietà;80;3;1°;Intera proprietà;850;60;59.0;1970.0;ottimo/ristrutturato;centralizzato;assente;
534;               Affitto, 4+4            ;crocetta;Intera proprietà;95;3;2°;Intera proprietà;700;46;0.0;1880.0;buono/abitabile;autonomo;assente;               F              
535;               Affitto            ;crocetta;Intera proprietà;210;5;3°;Intera proprietà;1390;242;;1938.0;buono/abitabile;centralizzato;assente;
536;               Affitto, libero            ;crocetta;Intera proprietà;80;3;1°;Intera proprietà;850;60;59.0;1970.0;ottimo/ristrutturato;centralizzato;predisposizione impianto;               D              
537;               Affitto, 4+4            ;crocetta;Intera proprietà;105;4;7°;Intera proprietà;750;60;50.0;1930.0;buono/abitabile;centralizzato;None;
538;               Affitto, 3+2            ;crocetta;Intera proprietà;146;5;1°;Intera proprietà;1000;180;;1920.0;ottimo/ristrutturato;autonomo;autonomo;               D              
539;               Affitto            ;crocetta;Intera proprietà;110;4;2°;Intera proprietà;900;77;;1965.0;buono/abitabile;centralizzato;assente;               G              
540;               Affitto            ;crocetta;Intera proprietà;90;4;5°;Intera proprietà;300;50;4.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
541;               Affitto            ;crocetta;Intera proprietà;80;3;Piano;Intera proprietà;560;70;;1900.0;buono/abitabile;;None;
542;               Affitto, libero            ;crocetta;Intera proprietà;58;2;2°;Intera proprietà;600;50;83.0;;buono/abitabile;centralizzato;None;
543;               Affitto, 3+2            ;crocetta;Intera proprietà;190;5;2°;Intera proprietà;1350;200;208.0;1960.0;buono/abitabile;centralizzato;None;               G              
544;               Affitto, 3+2            ;crocetta;Intera proprietà;110;4;7°;Intera proprietà;720;115;91.0;1965.0;;centralizzato;assente;               G              
545;               Affitto, concordato            ;crocetta;Intera proprietà;116;4;4°;Intera proprietà;800;110;;1960.0;buono/abitabile;centralizzato;None;               E              
546;               Affitto, studenti (6-36 mesi)            ;crocetta;Intera proprietà;50;2;2°;Intera proprietà;450;90;60.0;1930.0;buono/abitabile;centralizzato;assente;               E              
547;               Affitto            ;crocetta;Intera proprietà;95;3;Con;Intera proprietà;700;110;83.0;1970.0;ottimo/ristrutturato;centralizzato;assente;               D              
548;               Affitto, 4+4            ;crocetta;Intera proprietà;80;4;Ultimo;Intera proprietà;800;120;58.0;1960.0;ottimo/ristrutturato;centralizzato;None;               G              
550;               Affitto, 4+4            ;crocetta;Intera proprietà;25;1;1°;Intera proprietà;335;25;;1890.0;ottimo/ristrutturato;autonomo;assente;               G              
551;               Affitto            ;crocetta;Intera proprietà;75;3;Ultimo;Classe immobile media;660;;;1950.0;buono/abitabile;autonomo;assente;
552;               Affitto, 4+4            ;crocetta;Intera proprietà;135;4;6°;Intera proprietà;1400;280;;1965.0;ottimo/ristrutturato;centralizzato;assente;
553;               Affitto            ;crocetta;Intera proprietà;160;5;3°;Intera proprietà;1350;167;;1990.0;buono/abitabile;autonomo;None;
554;               Affitto            ;crocetta;Intera proprietà;85;2;2°;Intera proprietà;700;;;;ottimo/ristrutturato;autonomo;None;
555;               Affitto, 3+2            ;crocetta;Intera proprietà;155;4;Piano;Intera proprietà;1150;225;183.0;1800.0;ottimo/ristrutturato;centralizzato;assente;
556;               Affitto            ;crocetta;Intera proprietà;100;3;2°;Intera proprietà;650;167;;1955.0;buono/abitabile;centralizzato;assente;               E              
557;               Affitto            ;crocetta;Intera proprietà;65;3;5°;Intera proprietà;510;65;58.0;1940.0;buono/abitabile;centralizzato;assente;               F              
558;               Affitto, 4+4            ;crocetta;Intera proprietà;240;5;5°;Intera proprietà;1600;280;183.0;1900.0;buono/abitabile;centralizzato;None;               G              
559;               Affitto            ;crocetta;Intera proprietà;202;5;2°;Intera proprietà;1350;250;;;daristrutturare;centralizzato;None;               D              
560;               Affitto            ;crocetta;Intera proprietà;60;2;1°;Intera proprietà;1600;;;1800.0;ottimo/ristrutturato;autonomo;autonomo;
561;               Affitto            ;crocetta;Intera proprietà;80;3;Su;Classe immobile signorile;950;50;;;ottimo/ristrutturato;autonomo;autonomo;
562;               Affitto, transitorio            ;crocetta;Intera proprietà;45;2;Piano;Intera proprietà;495;25;;1900.0;ottimo/ristrutturato;centralizzato;assente;               E              
563;               Affitto, 4+4            ;crocetta;Intera proprietà;50;2;3°;Intera proprietà;480;25;60.0;1920.0;buono/abitabile;centralizzato;None;               G              
564;               Affitto, 4+4            ;crocetta;Intera proprietà;75;3;2°;Intera proprietà;650;100;;;ottimo/ristrutturato;autonomo;assente;               F              
565;               Affitto, 4+4            ;crocetta;Intera proprietà;55;3;Ultimo;Intera proprietà;660;90;66.0;1940.0;buono/abitabile;centralizzato;autonomo;
566;               Affitto            ;crocetta;Intera proprietà;98;3;5°;Intera proprietà;900;;;;ottimo/ristrutturato;centralizzato;None;               C              
567;               Affitto, libero            ;crocetta;Intera proprietà;78;2;Piano;Intera proprietà;900;;;2010.0;ottimo/ristrutturato;centralizzato;centralizzato;               B              
568;               Affitto, 4+4            ;crocetta;Intera proprietà;212;5;2°;Intera proprietà;2400;380;183.0;1907.0;ottimo/ristrutturato;centralizzato;assente;               C              
570;               Affitto, 4+4            ;crocetta;Intera proprietà;25;1;5°;Intera proprietà;360;;;1900.0;buono/abitabile;autonomo;None;               G              
571;               Affitto, 4+4            ;crocetta;Intera proprietà;70;3;3°;Intera proprietà;580;60;50.0;1930.0;buono/abitabile;centralizzato;None;               E              
572;               Affitto            ;crocetta;Intera proprietà;90;4;5°;Intera proprietà;795;90;;;ottimo/ristrutturato;centralizzato;None;
573;               Affitto, 4+4            ;crocetta;Intera proprietà;48;1;1°;Intera proprietà;650;50;50.0;1900.0;ottimo/ristrutturato;centralizzato;None;               F              
574;               Affitto            ;crocetta;Intera proprietà;70;3;Ultimo;Intera proprietà;700;117;;;buono/abitabile;centralizzato;None;               F              
575;               Affitto, libero            ;crocetta;Intera proprietà;35;1;3°;Intera proprietà;450;38;;1940.0;ottimo/ristrutturato;autonomo;assente;
576;               Affitto, 4+4            ;crocetta;Intera proprietà;130;3;6°;Intera proprietà;1400;183;100.0;;ottimo/ristrutturato;centralizzato;None;               E              
577;               Affitto            ;crocetta;Intera proprietà;125;5;2°;Intera proprietà;1250;120;;1950.0;buono/abitabile;;None;               G              
578;               Affitto, 4+4            ;crocetta;Intera proprietà;120;3;Con;Intera proprietà;1100;240;;1900.0;ottimo/ristrutturato;centralizzato;autonomo;               F              
579;               Affitto, 4+4            ;crocetta;Intera proprietà;120;4;Piano;Intera proprietà;1200;333;;1890.0;buono/abitabile;centralizzato;None;               B              
580;               Affitto            ;crocetta;Intera proprietà;70;3;Ultimo;Intera proprietà;650;70;50.0;1975.0;ottimo/ristrutturato;centralizzato;None;               F              
581;               Affitto            ;crocetta;Intera proprietà;160;4;5°;Intera proprietà;1500;;;;ottimo/ristrutturato;autonomo;None;               B              
582;               Affitto, 4+4            ;crocetta;Intera proprietà;160;5;3°;Intera proprietà;1000;130;;;buono/abitabile;centralizzato;assente;
583;               Affitto, 4+4            ;crocetta;Intera proprietà;80;4;4°;Intera proprietà;1100;150;;1961.0;nuovo/incostruzione;autonomo;autonomo;               D              
584;               Affitto, concordato            ;crocetta;Intera proprietà;190;5;4°;Intera proprietà;1500;200;208.0;1951.0;ottimo/ristrutturato;centralizzato;None;               G              
585;               Affitto            ;crocetta;Intera proprietà;120;3;3°;Intera proprietà;1300;208;122.0;;;centralizzato;None;               G              
586;               Affitto, transitorio            ;crocetta;Intera proprietà;70;3;3°;Intera proprietà;1100;200;200.0;1880.0;ottimo/ristrutturato;centralizzato;autonomo;               D              
587;               Affitto, 4+4            ;crocetta;Intera proprietà;120;4;3°;Intera proprietà;1500;120;;1900.0;ottimo/ristrutturato;centralizzato;None;               D              
588;               Affitto            ;crocetta;Intera proprietà;165;5;4°;Intera proprietà;1550;115;150.0;1850.0;ottimo/ristrutturato;centralizzato;None;               D              
589;               Affitto            ;crocetta;Intera proprietà;150;4;Ultimo;Intera proprietà;2000;200;;1800.0;ottimo/ristrutturato;centralizzato;None;               G              
590;               Affitto            ;crocetta;Intera proprietà;78;2;5°;;780;35;;1900.0;ottimo/ristrutturato;autonomo;None;               F              
591;               Affitto, 4+4            ;crocetta;Intera proprietà;125;5;2°;Intera proprietà;2000;;;1900.0;ottimo/ristrutturato;centralizzato;centralizzato;
592;               Affitto, libero            ;crocetta;Intera proprietà;60;2;1°;Intera proprietà;1100;55;4.0;2007.0;ottimo/ristrutturato;centralizzato;centralizzato;               C              
593;               Affitto, 4+4            ;crocetta;Intera proprietà;66;2;;;650;;;;;;assente;
594;               Affitto            ;crocetta;Intera proprietà;90;3;1°;Intera proprietà;800;100;;1950.0;buono/abitabile;centralizzato;None;               G              
595;               Affitto            ;crocetta;Intera proprietà;75;3;1°;Intera proprietà;650;90;;1950.0;buono/abitabile;centralizzato;None;               G              
596;               Affitto, 4+4            ;crocetta;Intera proprietà;20;2;4°;Intera proprietà;350;100;;1920.0;buono/abitabile;autonomo;None;               D              
597;               Affitto, transitorio            ;crocetta;Intera proprietà;70;3;1°;Intera proprietà;770;60;;1860.0;buono/abitabile;autonomo;None;               F              
598;               Affitto            ;crocetta;Intera proprietà;25;1;Con;Intera proprietà;330;70;;;buono/abitabile;assente;None;
599;               Affitto            ;san-secondo;Intera proprietà;100;2;5°;Classe immobile signorile;1600;108;;;ottimo/ristrutturato;centralizzato;assente;               D              
600;               Affitto, concordato            ;san-secondo;Intera proprietà;48;2;4°;Intera proprietà;370;40;;1920.0;buono/abitabile;autonomo;autonomo;               F              
601;               Affitto            ;san-secondo;Intera proprietà;40;2;2°;;470;80;;;buono/abitabile;autonomo;None;               E              
602;               Affitto, 4+4            ;san-secondo;Intera proprietà;70;3;1°;Intera proprietà;550;50;;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
603;               Affitto, concordato            ;san-secondo;Intera proprietà;90;3;3°;Intera proprietà;600;110;;;buono/abitabile;autonomo;None;               C              
604;               Affitto            ;san-secondo;Intera proprietà;95;4;2°;Intera proprietà;800;;;1976.0;ottimo/ristrutturato;centralizzato;None;               E              
605;               Affitto            ;san-secondo;Intera proprietà;55;2;1°;Intera proprietà;480;50;41.0;;buono/abitabile;centralizzato;None;
606;               Affitto, 4+4            ;san-secondo;Intera proprietà;70;3;Piano;Intera proprietà;550;80;75.0;1940.0;buono/abitabile;centralizzato;assente;               E              
607;               Affitto            ;san-secondo;Intera proprietà;50;2;8°;;450;50;50.0;1970.0;ottimo/ristrutturato;autonomo;None;               D              
608;               Affitto, 4+4            ;san-secondo;Intera proprietà;25;1;3°;Intera proprietà;350;40;40.0;;buono/abitabile;centralizzato;assente;               F              
609;               Affitto, libero            ;san-secondo;Intera proprietà;160;5;1°;Intera proprietà;1800;150;;2002.0;nuovo/incostruzione;centralizzato;assente;               B              
610;               Affitto, libero            ;san-secondo;Intera proprietà;70;2;Piano;Intera proprietà;750;;;2010.0;ottimo/ristrutturato;centralizzato;None;               B              
611;               Affitto, 4+4            ;san-secondo;Intera proprietà;120;3;1°;Intera proprietà;1050;125;100.0;;ottimo/ristrutturato;centralizzato;assente;               G              
612;               Affitto, 4+4            ;san-secondo;Intera proprietà;60;2;3°;Intera proprietà;600;80;83.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               D              
613;               Affitto, libero            ;san-secondo;Intera proprietà;50;2;2°;Intera proprietà;450;30;58.0;1960.0;buono/abitabile;centralizzato;autonomo;               D              
614;               Affitto, concordato            ;san-secondo;Intera proprietà;85;3;3°;Intera proprietà;560;120;;;ottimo/ristrutturato;centralizzato;None;               E              
615;               Affitto, concordato            ;san-secondo;Intera proprietà;110;4;4°;Intera proprietà;750;70;83.0;1960.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
616;               Affitto            ;san-secondo;Intera proprietà;82;4;Con;;650;;;1930.0;;centralizzato;None;               G              
617;               Affitto            ;san-secondo;Intera proprietà;65;2;Con;Intera proprietà;790;50;;;ottimo/ristrutturato;autonomo;presente;               Non classificabile              
618;               Affitto            ;san-secondo;Intera proprietà;55;2;5°;Intera proprietà;500;20;;;buono/abitabile;autonomo;None;
619;               Affitto, 4+4            ;san-secondo;Intera proprietà;80;3;1°;Intera proprietà;850;60;59.0;1970.0;ottimo/ristrutturato;centralizzato;None;
620;               Affitto, libero            ;san-secondo;Intera proprietà;80;3;1°;Intera proprietà;850;60;59.0;1970.0;ottimo/ristrutturato;centralizzato;None;               D              
621;               Affitto            ;san-secondo;Intera proprietà;50;2;3°;Intera proprietà;490;75;;;buono/abitabile;autonomo;assente;
622;               Affitto            ;san-secondo;Intera proprietà;95;4;4°;Intera proprietà;1100;1.200;;;buono/abitabile;autonomo;None;               E              
623;               Affitto, 4+4            ;san-secondo;Intera proprietà;160;5;Con;Intera proprietà;1450;100;;;ottimo/ristrutturato;centralizzato;assente;               G              
624;               Affitto            ;cavoretto;Intera proprietà;95;3;Con;Intera proprietà;700;110;83.0;1970.0;ottimo/ristrutturato;centralizzato;None;               D              
625;               Affitto, libero            ;cavoretto;Intera proprietà;50;2;4°;Intera proprietà;450;;;;ottimo/ristrutturato;autonomo;None;               A+              
626;               Affitto            ;cavoretto;Intera proprietà;30;1;Piano;Intera proprietà;340;;;1936.0;ottimo/ristrutturato;autonomo;assente;               D              
627;               Affitto            ;cavoretto;Intera proprietà;50;2;4°;;450;;;;buono/abitabile;autonomo;None;               F              
628;               Affitto            ;cavoretto;Intera proprietà;50;2;4°;Intera proprietà;450;;;1991.0;ottimo/ristrutturato;autonomo;None;               D              
629;               Affitto            ;cavoretto;Intera proprietà;50;2;4°;Classe immobile signorile;450;;;;ottimo/ristrutturato;autonomo;None;               D              
630;               Affitto, concordato            ;cavoretto;Intera proprietà;50;2;4°;Intera proprietà;450;;;;ottimo/ristrutturato;;None;               Non classificabile              
631;               Affitto, libero            ;cavoretto;Intera proprietà;250;5;Piano;Intera proprietà;5900;500;;;nuovo/incostruzione;autonomo;autonomo;               A3              
632;               Affitto, 4+4            ;cavoretto;Intera proprietà;45;2;Con;Intera proprietà;450;40;;;ottimo/ristrutturato;autonomo;None;
633;               Affitto, 4+4            ;cavoretto;Intera proprietà;85;3;2°;Intera proprietà;750;70;50.0;1960.0;ottimo/ristrutturato;autonomo;assente;               D              
634;               Affitto, 4+4            ;cavoretto;Intera proprietà;50;2;2°;Intera proprietà;380;40;37.0;1950.0;buono/abitabile;centralizzato;None;               G              
635;               Affitto, libero            ;cavoretto;Intera proprietà;70;3;1°;Intera proprietà;550;;;1980.0;ottimo/ristrutturato;autonomo;None;               B              
636;               Affitto            ;cavoretto;Intera proprietà;250;5;1°;Intera proprietà;2000;;;;ottimo/ristrutturato;;None;               G              
